,id_stable,Date,Content,ContentClean,Labels,label_sent,y_sent,label_stance,y_stance,n_CapLetters,CapsRatio,AllCapWords,https,Mentions,Location,ReplyCount,RetweetCount,LikeCount,QuoteCount,Hashtags,Flag
10,132517,2021-08-21 07:13:43+00:00,Kent Refugee Action Network need your help to continue their great work supporting young refugees. Many young Afghan refugees are now terrified of being sent back into the hands of Taliban.  @campbellclaret @RoryStewartUK @OpenBritainHQ @natalieben @eddieizzard @crowdfunderuk https://t.co/R01LjjmgXo,Kent Refugee Action Network need your help to continue their great work supporting young refugees. Many young Afghan refugees are now terrified of being sent back into the hands of Taliban.,plea - fear / agree,plea - fear,1,agree,2,7,0.034313725490196,,https://t.co/R01LjjmgXo,"@campbellclaret, @RoryStewartUK, @OpenBritainHQ, @natalieben, @eddieizzard, @crowdfunderuk","London, England",1,5,12,0,No hashtags,yes
11,83219,2021-09-08 12:49:37+00:00,"Biden Asks Congress For $6.4 Billion in Taxpayer Money to Resettle 95,000 Unvetted Afghans MEANWHILE ALL TAX PAYERS HAVE LOST THEIR LIVELIHOODS BECAUSE A SHUTDOWN ALLOWED HIM TO STEAL AN ELECTION  https://t.co/hyPKdZw2D8","Biden Asks Congress For $6.4 Billion in Taxpayer Money to Resettle 95,000 Unvetted Afghans MEANWHILE ALL TAX PAYERS HAVE LOST THEIR LIVELIHOODS BECAUSE A SHUTDOWN ALLOWED HIM TO STEAL AN ELECTION",angry / disagree,angry,1,disagree,1,98,0.494949494949495,"MEANWHILE, ALL, TAX, PAYERS, HAVE, LOST, THEIR, LIVELIHOODS, BECAUSE, A, SHUTDOWN, ALLOWED, HIM, TO, STEAL, AN, ELECTION",https://t.co/hyPKdZw2D8,,"Sarasota, Fl & San Antonio,TX",0,0,1,0,No hashtags,yes
12,36018,2021-12-08 15:04:08+00:00,"According to the Henley Passport Index, the Afghan passport is the worst passport to hold

You can't do much with it except apply for asylum or travel to other failed states

https://t.co/VDtdvEXU4w https://t.co/anisJEAvyo","According to the Henley Passport Index, the Afghan passport is the worst passport to hold You can't do much with it except apply for asylum or travel to other failed states",sad / neutral,sad,1,neutral,0,6,0.0337078651685393,,"https://t.co/VDtdvEXU4w, https://t.co/anisJEAvyo",,Khorasan,0,3,25,0,No hashtags,yes
13,189959,2021-06-24 05:00:32+00:00,Please don't leave those people: translators etc. behind in Afghanistan. Is there nothing sacred in helping our troops leave!,Please don't leave those people: translators etc. behind in Afghanistan. Is there nothing sacred in helping our troops leave!,plea - disgust / agree,plea - disgust,1,agree,2,3,0.024,,,,English-speaking,0,0,0,0,No hashtags,yes
14,77707,2021-09-12 22:02:09+00:00,"BEYOND VENUE:  Israeli stadium superfan says Afghan migrant want more EU 'Bienvenue'
#DraftKings #EUMasters
https://t.co/y828kzaYqH https://t.co/7wJrgluu7U",BEYOND VENUE: Israeli stadium superfan says Afghan migrant want more EU 'Bienvenue' #DraftKings #EUMasters,neutral / na,neutral,0,na,0,21,0.1891891891891892,"BEYOND, VENUE:, EU","https://t.co/y828kzaYqH, https://t.co/7wJrgluu7U",,"New York, NY",0,0,0,0,"['DraftKings', 'EUMasters']",yes
15,82738,2021-09-08 18:08:32+00:00,"Fifty Afghan families escaped from Kunduz and reached Quetta, Pakistan
A day later, the government of Pakistan's Balochistan Province deported the Afghan refugee's back to Afghanistan
DC Quetta is of the view that these Refugees came illegally
Humanity is dying here
#Afghanistan https://t.co/fROQ09WRFc","Fifty Afghan families escaped from Kunduz and reached Quetta, Pakistan A day later, the government of Pakistan's Balochistan Province deported the Afghan refugee's back to Afghanistan DC Quetta is of the view that these Refugees came illegally Humanity is dying here #Afghanistan",disgust / agree,disgust,1,agree,2,17,0.0604982206405693,,https://t.co/fROQ09WRFc,,"Quetta, Pakistan",11,17,62,7,['Afghanistan'],yes
16,171315,2021-08-15 14:16:23+00:00,"You’d think that what #Afghanistan &amp; #Belarus have shown us is: 1) pushing asylum seekers back at EU borders &amp; deporting them has no deterrent effect; 2) neighbouring strongmen can blackmail us using migration

Turns out thinking in Brussels is still: “Let’s do more of 1 &amp; 2” https://t.co/Oz553Ohb36",You’d think that what #Afghanistan & #Belarus have shown us is: 1) pushing asylum seekers back at EU borders & deporting them has no deterrent effect; 2) neighbouring strongmen can blackmail us using migration Turns out thinking in Brussels is still: “Let’s do more of 1 & 2”,disgust / neutral,disgust,1,neutral,0,8,0.0275862068965517,EU,https://t.co/Oz553Ohb36,,"Brussels, Belgium",0,2,2,0,"['Afghanistan', 'Belarus']",yes
17,164959,2021-08-16 14:15:01+00:00,"@afneil Unlikely, the way they have treated The Gurkhas and Afghan translators doesn't fill me with hope.","Unlikely, the way they have treated The Gurkhas and Afghan translators doesn't fill me with hope.",sad / agree,sad,1,agree,2,4,0.0404040404040404,,,@afneil,further away the better ,0,0,0,0,No hashtags,yes
18,155610,2021-08-17 13:01:43+00:00,"@darrengrimes_ According to the poll you set up, but deleted because it wasn’t going the way you wanted, the majority of Britain’s people are already supportive of welcoming Afghan asylum seekers.","According to the poll you set up, but deleted because it wasn’t going the way you wanted, the majority of Britain’s people are already supportive of welcoming Afghan asylum seekers.",disgust / agree,disgust,1,agree,2,3,0.0163934426229508,,,@darrengrimes_,English-speaking,1,0,0,0,No hashtags,yes
19,73141,2021-09-16 20:49:04+00:00,"CDC says US should pause all Afghan refugee flights to the US because of Measles. Secretary of State says we already brought in 60,000 with at least 35,000 on the way. .pdf in link. https://t.co/9MTEQvZBl5","CDC says US should pause all Afghan refugee flights to the US because of Measles. Secretary of State says we already brought in 60,000 with at least 35,000 on the way. .pdf in link.",fear / neutral,fear,1,neutral,0,11,0.0601092896174863,"CDC, US, US",https://t.co/9MTEQvZBl5,,English-speaking,0,0,0,0,No hashtags,yes
20,197408,2021-02-26 02:50:39+00:00,@AndrewBartlett @PeterCronau He has played a high stakes gambling game against the most powerful intelligence agencies in the world and while I get what you are saying about asylum BUT in gamming terms he may have left his run too late because most of the world has forgotten Iraq and Afghanistan,He has played a high stakes gambling game against the most powerful intelligence agencies in the world and while I get what you are saying about asylum BUT in gamming terms he may have left his run too late because most of the world has forgotten Iraq and Afghanistan,neutral / neutral,neutral,0,neutral,0,7,0.025830258302583,"I, BUT",,"@AndrewBartlett, @PeterCronau",Earth,1,0,0,0,No hashtags,yes
21,53388,2021-10-18 13:32:57+00:00,"No country for asylum seekers!
#Afghanistan https://t.co/llF2Jq7OPm",No country for asylum seekers! #Afghanistan,disgust / disagree,disgust,1,disagree,1,2,0.0444444444444444,,https://t.co/llF2Jq7OPm,,"الرياض, المملكة العربية السعود",0,0,0,0,['Afghanistan'],yes
22,25826,2022-01-15 10:09:00+00:00,UK 'may' deport boat migrant Afghan who raped and murdered child https://t.co/lQMuEevWop May? #bbcnews #skynews #ITVNews #c4news #BBCaq #GBNews #bbcbreakfast,UK 'may' deport boat migrant Afghan who raped and murdered child May? #bbcnews #skynews #ITVNews #c4news #BBCaq #GBNews #bbcbreakfast,disgust / neutral,disgust,1,neutral,0,14,0.1037037037037037,UK,https://t.co/lQMuEevWop,,Cotswolds & SW France. ,0,0,1,0,"['bbcnews', 'skynews', 'ITVNews', 'c4news', 'BBCaq', 'GBNews', 'bbcbreakfast']",yes
23,42353,2021-11-20 14:33:51+00:00,@erikawas @PeterSaker2 @TIsenor @RichardEngel Tell that to the female Afghan refugee that wants to get an abortion in Texas after she was raped,Tell that to the female Afghan refugee that wants to get an abortion in Texas after she was raped,disgust / neutral,disgust,1,neutral,0,3,0.0285714285714285,,,"@erikawas, @PeterSaker2, @TIsenor, @RichardEngel","Chicago, IL",0,0,0,0,No hashtags,yes
24,89480,2021-09-04 13:19:05+00:00,"It was great to see Afghan interpreters, who worked with 🇱🇹 troops in #Afghanistan, safe &amp; well. They are temporarily accommodated in Raseiniai until all asylum procedures are completed. Next week, they will get temporary documents allowing them to move within #Lithuania. https://t.co/Ng7Nmkr19t","It was great to see Afghan interpreters, who worked with 🇱🇹 troops in #Afghanistan, safe & well. They are temporarily accommodated in Raseiniai until all asylum procedures are completed. Next week, they will get temporary documents allowing them to move within #Lithuania.",happy / agree,happy,2,agree,2,7,0.0251798561151079,,https://t.co/Ng7Nmkr19t,,Lithuania,1,3,11,1,"['Afghanistan', 'Lithuania']",yes
25,43686,2021-11-16 12:54:41+00:00,"The international community must continue its humanitarian protection to the Hazara population in Afghanistan and to the Hazara asylum seekers.

Hazaras are facing genocide in Afghanistan. 

Genocide.",The international community must continue its humanitarian protection to the Hazara population in Afghanistan and to the Hazara asylum seekers. Hazaras are facing genocide in Afghanistan. Genocide.,plea - fear / agree,plea - fear,1,agree,2,7,0.035,,,,Australia & Geneva,2,31,133,2,No hashtags,yes
26,186248,2021-07-12 06:40:22+00:00,A thread on the current situation in Afghanistan and what the map tells us about the future of conflict. Interpreting the drumbeats of war and the racket about the looming refugee crisis.,A thread on the current situation in Afghanistan and what the map tells us about the future of conflict. Interpreting the drumbeats of war and the racket about the looming refugee crisis.,fear / neutral,fear,1,neutral,0,3,0.0160427807486631,A,,,Somewhere Up North-West,36,166,466,46,No hashtags,yes
27,31524,2021-12-23 22:44:53+00:00,Afghan translators celebrate first holiday in their safe haven in the UK after their flight from Kabul https://t.co/dJxeZ2wni1,Afghan translators celebrate first holiday in their safe haven in the UK after their flight from Kabul,happy / agree,happy,2,agree,2,4,0.0384615384615384,UK,https://t.co/dJxeZ2wni1,,united states ,0,0,0,0,No hashtags,yes
28,183970,2021-07-21 09:36:57+00:00,"Why is @andrewprobyn saying on @abcnews that Afghanistan interpreters and helpers have been granted Visas here, when the other day an multi medal awarded Returned Australian soldier resigned and burnt his Medals for the very reason we are in fact denying them asylum?","Why is saying on that Afghanistan interpreters and helpers have been granted Visas here, when the other day an multi medal awarded Returned Australian soldier resigned and burnt his Medals for the very reason we are in fact denying them asylum?",disgust / agree,disgust,1,agree,2,6,0.0241935483870967,,,"@andrewprobyn, @abcnews",Guringai Land,0,1,6,0,No hashtags,yes
29,74101,2021-09-16 04:29:29+00:00,"""But if it goes wrong, and... we are really worried about, it could go to chaos,..humanitarian crisis,a huge refugee problem, unstable Afghanistan and[...] possibility of terrorism from Afghanistan's soil.""

Prime Minister Imran Khan's interview with CNN
https://t.co/8jtvT7epfS","""But if it goes wrong, and... we are really worried about, it could go to chaos,..humanitarian crisis,a huge refugee problem, unstable Afghanistan and[...] possibility of terrorism from Afghanistan's soil."" Prime Minister Imran Khan's interview with CNN",fear / neutral,fear,1,neutral,0,10,0.0390625,"CNN
",https://t.co/8jtvT7epfS,,"Islamabad, Pakistan",1,0,2,0,No hashtags,yes
30,114133,2021-08-26 05:01:17+00:00,"I would like to think the United States government for doing the right thing for the Afghan peoples. Now doing the resettlement faze, please, please let's throw in another 200,000 of our own homeless peoples we have on our own streets","I would like to think the United States government for doing the right thing for the Afghan peoples. Now doing the resettlement faze, please, please let's throw in another 200,000 of our own homeless peoples we have on our own streets",happy / agree,happy,2,agree,2,5,0.0213675213675213,I,,,English-speaking,0,0,0,0,No hashtags,yes
31,63793,2021-09-27 11:18:38+00:00,So my money I gave to the church will help support 300 Afghan refugee families ain't ah bitch I'mma have to find another church home #ADOS,So my money I gave to the church will help support 300 Afghan refugee families ain't ah bitch I'mma have to find another church home #ADOS,angry / disagree,angry,1,disagree,1,8,0.0579710144927536,"I, #ADOS",,,English-speaking,0,0,0,0,['ADOS'],yes
32,122052,2021-08-24 09:26:55+00:00,🚨 🚨 “A living hell”: Leaked email describes squalid Afghan refugee conditions https://t.co/L4GTX5HanV,🚨 🚨 “A living hell”: Leaked email describes squalid Afghan refugee conditions,disgust / neutral,disgust,1,neutral,0,3,0.0379746835443038,“A,https://t.co/L4GTX5HanV,,"Alexandria, VA",5,14,20,2,No hashtags,yes
33,82754,2021-09-08 17:50:49+00:00,"@SenRickScott @SenSchumer @SpeakerPelosi Did you run it upstream with your base as yet? How many Afghans are Clay, Lafayette, Putnam and Volusia counties willing to accept for resettlement? #OrbaRaisedACowardlyGrifter who won’t hold a townhall unless it’s in TheVillages","Did you run it upstream with your base as yet? How many Afghans are Clay, Lafayette, Putnam and Volusia counties willing to accept for resettlement? #OrbaRaisedACowardlyGrifter who won’t hold a townhall unless it’s in TheVillages",disgust / disagree,disgust,1,disagree,1,14,0.0595744680851063,,,"@SenRickScott, @SenSchumer, @SpeakerPelosi",Florida,0,0,0,0,['OrbaRaisedACowardlyGrifter'],yes
34,61753,2021-09-30 13:21:11+00:00,"@cspanwj Rep Green please explain  that the US Government gives Afghanistan asylum seekers only $1,200. Welcome cash &amp; a couple hundred a month to feed themselves &lt; via @sacbee_news 
Most the Aid they get comes from International Aid organizations","Rep Green please explain that the US Government gives Afghanistan asylum seekers only $1,200. Welcome cash & a couple hundred a month to feed themselves &lt; via Most the Aid they get comes from International Aid organizations",disgust / agree,disgust,1,agree,2,11,0.0466101694915254,US,,"@cspanwj, @sacbee_news",Northern California ,1,0,0,0,No hashtags,yes
35,64869,2021-09-25 13:42:49+00:00,"@JarrieSam They are but even think about Jan 6th in the US..  it was pretty bad but it and the current Afghan withdrawl, border migrant crisis and Biden not being the President many had hoped for, it hasn't fallen. We are very lucky I think some times Sam when we see the extremities 🙏","They are but even think about Jan 6th in the US.. it was pretty bad but it and the current Afghan withdrawl, border migrant crisis and Biden not being the President many had hoped for, it hasn't fallen. We are very lucky I think some times Sam when we see the extremities 🙏",happy / neutral,happy,2,neutral,0,10,0.036231884057971,"US.., I",,@JarrieSam,Northern Ireland,0,0,0,0,No hashtags,yes
36,196781,2021-03-16 18:22:34+00:00,i’m deadass not even white i’m an Afghan refugee living in Sweden. I toke black tar mad heavy too,i’m deadass not even white i’m an Afghan refugee living in Sweden. I toke black tar mad heavy too,angry / refugee,angry,1,refugee,3,3,0.0309278350515463,I,,,❌🧢🐫,0,0,10,0,No hashtags,yes
37,79475,2021-09-10 18:04:59+00:00,"Explosives discovered in Afghanistan refugee hold baggage!  Nice vetting!
https://t.co/nWcod8Gr4H",Explosives discovered in Afghanistan refugee hold baggage! Nice vetting!,angry / disagree,angry,1,disagree,1,3,0.04,,https://t.co/nWcod8Gr4H,,New Idaho Resident,0,3,1,0,No hashtags,yes
38,188813,2021-07-02 17:36:18+00:00,"@RepJasonCrow @CombatInterpr Please now turn to help get our former Afghan employees out! My friend taught for the US military for years &amp; so now his life is in grave danger. He has applied for SIV, please help him get relocated here where he will be safe &amp; alive. Help the US do the right thing.","Please now turn to help get our former Afghan employees out! My friend taught for the US military for years & so now his life is in grave danger. He has applied for SIV, please help him get relocated here where he will be safe & alive. Help the US do the right thing.",plea - fear / agree,plea - fear,1,agree,2,12,0.043010752688172,"US, SIV,, US",,"@RepJasonCrow, @CombatInterpr",English-speaking,1,0,4,0,No hashtags,yes
39,67845,2021-09-22 07:47:53+00:00,Turkey asks world to find solution to 'refugee problem' at UNGA amid Afghan crisis https://t.co/H17TrIUBAI,Turkey asks world to find solution to 'refugee problem' at UNGA amid Afghan crisis,neutral / neutral,neutral,0,neutral,0,6,0.0714285714285714,UNGA,https://t.co/H17TrIUBAI,,"Mumbai, India",7,4,21,1,No hashtags,yes
40,164093,2021-08-16 16:00:21+00:00,"""Stand With Afghanistan- A refugee is a human being. People become refugees due to circumstances. They are people away from their home which already makes it hard for them Don't make it any harder."" - Shweta Bhanot https://t.co/L14I8vce8K","""Stand With Afghanistan- A refugee is a human being. People become refugees due to circumstances. They are people away from their home which already makes it hard for them Don't make it any harder."" - Shweta Bhanot",plea - sad / agree,plea - sad,1,agree,2,9,0.0416666666666666,A,https://t.co/L14I8vce8K,,"Ghent, Belgium",0,0,0,0,No hashtags,yes
41,188372,2021-07-05 13:19:23+00:00,"#Germany - Man is stabbed to death at German #refugee centre 'by #Afghan man who shouted ""Allahu Akbar"" moments before'
https://t.co/WvOnetwkEc via @MailOnline","#Germany - Man is stabbed to death at German #refugee centre 'by #Afghan man who shouted ""Allahu Akbar"" moments before' via",fear / neutral,fear,1,neutral,0,6,0.0472440944881889,,https://t.co/WvOnetwkEc,@MailOnline,English-speaking,0,0,0,0,"['Germany', 'refugee', 'Afghan']",yes
42,115864,2021-08-25 19:13:50+00:00,"@JTSEO9 Sleepy Joe said they did ""vetting"" on all of them. Afghanistan doesn't even have a proper govt, so what docs did they check to ""vet"" them","Sleepy Joe said they did ""vetting"" on all of them. Afghanistan doesn't even have a proper govt, so what docs did they check to ""vet"" them",disgust / disagree,disgust,1,disagree,1,3,0.0215827338129496,,,@JTSEO9,"Westport, CT",1,0,3,0,No hashtags,yes
43,88853,2021-09-04 20:44:22+00:00,Major City Mayors Say They Still Don't Know How Afghan Resettlement Scheme Will Work https://t.co/WmvCt78h7B,Major City Mayors Say They Still Don't Know How Afghan Resettlement Scheme Will Work,neutral / neutral,neutral,0,neutral,0,14,0.1627906976744186,,https://t.co/WmvCt78h7B,,English-speaking,0,0,0,0,No hashtags,yes
44,181827,2021-07-28 18:45:09+00:00,"When Americans will help blacklisted interpreters in Afghanistan, because these people worked for years and after years of services they are terminated and their SIV Visas denied After Visas interviews. @IRAP @Kristen95611376 @mattczeller @Stevens18Clint @wartimeallies @POTUS","When Americans will help blacklisted interpreters in Afghanistan, because these people worked for years and after years of services they are terminated and their SIV Visas denied After Visas interviews.",plea - sad / agree,plea - sad,1,agree,2,9,0.0420560747663551,SIV,,"@IRAP, @Kristen95611376, @mattczeller, @Stevens18Clint, @wartimeallies, @POTUS",Afghanistan,0,0,2,0,No hashtags,yes
45,196452,2021-03-26 02:11:23+00:00,"@SoSocialism Hope his administration stops acting like lost dogs. ""omg, we're in 'power' what do we do 1st? Healthcare? Nah! Immigrant kids in jail/camps? We have em 🤷. Peace and stability in the middle east? Nah lets bomb Syria, stay in Afghanistan, &amp; not negotiate with Iran.""","Hope his administration stops acting like lost dogs. ""omg, we're in 'power' what do we do 1st? Healthcare? Nah! Immigrant kids in jail/camps? We have em 🤷. Peace and stability in the middle east? Nah lets bomb Syria, stay in Afghanistan, & not negotiate with Iran.""",angry / neutral,angry,1,neutral,0,10,0.03690036900369,,,@SoSocialism,"Dona Ana, NM",0,0,0,0,No hashtags,yes
46,180313,2021-08-01 17:05:16+00:00,"@LBC @CamillaTominey The ultimate irony, in the name of human rights and equality. We allow criminals to thrive trafficking people from France whilst refusing Afghan translators asylum via legal routes.","The ultimate irony, in the name of human rights and equality. We allow criminals to thrive trafficking people from France whilst refusing Afghan translators asylum via legal routes.",disgust / agree,disgust,1,agree,2,4,0.0216216216216216,,,"@LBC, @CamillaTominey",English-speaking,0,0,2,0,No hashtags,yes
47,106339,2021-08-28 14:17:59+00:00,"Ah yes, the Afghans helping us truly playing the long game. Risk their whole families being murdered for decades just so when the US pulls out they can have a small shot at coming as a refugee to, what, turn around and attack us? https://t.co/O3hSzPPEv2","Ah yes, the Afghans helping us truly playing the long game. Risk their whole families being murdered for decades just so when the US pulls out they can have a small shot at coming as a refugee to, what, turn around and attack us?",disgust / agree,disgust,1,agree,2,5,0.0216450216450216,US,https://t.co/O3hSzPPEv2,,English-speaking,0,0,0,0,No hashtags,yes
48,192348,2021-06-05 08:20:04+00:00,"Britain Accelerates Relocation of Afghan Interpreters to U.K. https://t.co/l7LZ3NgKgi - Will America do the same, I fear a Vietnam type bloodbath.","Britain Accelerates Relocation of Afghan Interpreters to U.K. - Will America do the same, I fear a Vietnam type bloodbath.",fear / agree,fear,1,agree,2,11,0.0887096774193548,"U.K., I",https://t.co/l7LZ3NgKgi,,"Henderson, NV",0,0,2,0,No hashtags,yes
49,11709,2022-03-07 07:58:51+00:00,"False alarm! It’s the non existent special sponsorship scheme being announced, the one that was announced last week. Like the Afghan scheme that was announced 6 mth ago that still hasn’t brought any more to safety. 

Emperor’s New Clothes Resettlement.  

https://t.co/V7FQOOfSLr https://t.co/XeJAZVDsbd","False alarm! It’s the non existent special sponsorship scheme being announced, the one that was announced last week. Like the Afghan scheme that was announced 6 mth ago that still hasn’t brought any more to safety. Emperor’s New Clothes Resettlement.",disgust / neutral,disgust,1,neutral,0,8,0.0308880308880308,,"https://t.co/V7FQOOfSLr, https://t.co/XeJAZVDsbd",,English-speaking,0,1,12,0,No hashtags,yes
50,59616,2021-10-03 15:08:12+00:00,"@DomShow1210 After watching the Philadelphia Police Department you should never criticize the Afghanistan Military, just what was Police doing making sure Covid protocols were being followed. The Inmates are running the asylum.","After watching the Philadelphia Police Department you should never criticize the Afghanistan Military, just what was Police doing making sure Covid protocols were being followed. The Inmates are running the asylum.",disgust / na,disgust,1,na,0,10,0.0462962962962962,,,@DomShow1210,English-speaking,0,0,0,0,No hashtags,yes
51,88561,2021-09-05 00:55:10+00:00,@JoyceCarolOates Biden intentionally chose a withdrawal plan and schedule that was almost certain to leave behind tens of thousands of Afghans who risked their lives to help us and dual US-Afghan citizens. Every step of that refugee process has failed. This isn't an honest mistake.,Biden intentionally chose a withdrawal plan and schedule that was almost certain to leave behind tens of thousands of Afghans who risked their lives to help us and dual US-Afghan citizens. Every step of that refugee process has failed. This isn't an honest mistake.,disgust / agree,disgust,1,agree,2,7,0.0262172284644194,,,@JoyceCarolOates,"Minnesota, USA",3,0,1,0,No hashtags,yes
52,56086,2021-10-11 06:48:52+00:00,@FCDOGovUK Where went the promise of Afghan citizens resettlement scheme where girls were supposed to bring to safety.,Where went the promise of Afghan citizens resettlement scheme where girls were supposed to bring to safety.,disgust / agree,disgust,1,agree,2,2,0.018348623853211,,,@FCDOGovUK,English-speaking,0,0,1,0,No hashtags,yes
53,24629,2022-01-20 14:25:55+00:00,@UNHCRIndo as a poor Afghan Refugee after passing 8years in uncertainty i sincerely beg you please please pay attention and rescue me and my children . my little toddler became a teenager without education. please end this miserable situation .,as a poor Afghan Refugee after passing 8years in uncertainty i sincerely beg you please please pay attention and rescue me and my children . my little toddler became a teenager without education. please end this miserable situation .,plea - sad / refugee,plea - sad,1,refugee,3,2,0.0085106382978723,,,@UNHCRIndo,English-speaking,0,0,5,0,No hashtags,yes
54,95316,2021-09-01 20:53:41+00:00,"Psaki claims 'no one' is entering US without being vetted: White House press secretary Jen Psaki said Wednesday that ""no one"" is coming into the U.S. without a thorough background check following the evacuation of more than 120,000 people from Afghanistan. https://t.co/SSrS30r4Ho","Psaki claims 'no one' is entering US without being vetted: White House press secretary Jen Psaki said Wednesday that ""no one"" is coming into the U.S. without a thorough background check following the evacuation of more than 120,000 people from Afghanistan.",neutral / neutral,neutral,0,neutral,0,11,0.0426356589147286,"US, U.S.",https://t.co/SSrS30r4Ho,,King's Records®,0,0,0,0,No hashtags,yes
