,id_stable,label_sent,y_sent,label_stance,y_stance
784,137079,sad,0,neutral,1
271,55133,plea - fear,0,refugee,3
180,158118,disgust,0,neutral,1
786,156930,fear,0,agree,2
10,132517,plea - fear,0,agree,2
220,26714,happy,2,agree,2
264,18154,plea - fear,0,agree,2
1015,55720,angry,0,agree,2
434,122776,disgust,0,disagree,0
414,40877,neutral,1,neutral,1
182,58896,disgust,0,disagree,0
222,122948,disgust,0,refugee,3
312,96306,angry,0,neutral,1
485,73793,disgust,0,neutral,1
139,169677,disgust,0,neutral,1
888,25419,disgust,0,disagree,0
722,198753,fear,0,agree,2
707,63364,angry,0,disagree,0
1168,3829,sad,0,agree,2
773,145914,plea - neutral,1,neutral,1
640,127134,disgust,0,agree,2
1110,190781,disgust,0,agree,2
977,129494,happy,2,neutral,1
985,198633,happy,2,neutral,1
555,4073,angry,0,neutral,1
1023,192527,fear,0,refugee,3
377,99238,happy,2,agree,2
1025,30954,happy,2,neutral,1
984,195927,neutral,1,neutral,1
1155,159414,plea - disgust,0,agree,2
1017,110115,neutral,1,neutral,1
233,16672,happy,2,na,1
55,86895,fear,0,neutral,1
861,102849,disgust,0,neutral,1
360,68759,angry,0,agree,2
792,72423,fear,0,refugee,3
293,24855,neutral,1,na,1
157,80346,disgust,0,neutral,1
1011,84462,neutral,1,neutral,1
392,53024,happy,2,agree,2
1210,157388,neutral,1,agree,2
872,33215,happy,2,agree,2
490,135137,na,1,na,1
340,3516,plea - sad,0,refugee,3
1065,29391,disgust,0,neutral,1
147,171687,disgust,0,agree,2
806,154697,neutral,1,neutral,1
940,71773,disgust,0,agree,2
971,88388,disgust,0,neutral,1
1198,139502,neutral,1,disagree,0
503,139204,happy,2,neutral,1
266,14507,disgust,0,neutral,1
546,185641,disgust,0,neutral,1
1052,128211,disgust,0,agree,2
92,33189,happy,2,neutral,1
962,190178,neutral,1,neutral,1
255,174235,happy,2,agree,2
159,88781,disgust,0,neutral,1
978,45080,plea - hopeful,2,agree,2
944,97319,plea - fear,0,agree,2
203,191524,disgust,0,neutral,1
581,95965,neutral,1,neutral,1
942,99590,disgust,0,disagree,0
1178,183247,disgust,0,agree,2
655,101557,hopeful,2,agree,2
527,153370,disgust,0,disagree,0
350,53449,disgust,0,na,1
1199,1964,hopeful,2,neutral,1
583,86242,plea - disgust,0,disagree,0
947,1567,happy,2,neutral,1
1049,1039,happy,2,agree,2
290,112442,neutral,1,neutral,1
1194,117969,happy,2,agree,2
390,17147,neutral,1,na,1
743,50419,fear,0,agree,2
1184,152534,disgust,0,agree,2
347,8687,disgust,0,neutral,1
935,66774,disgust,0,agree,2
177,55500,neutral,1,neutral,1
153,1224,fear,0,agree,2
387,201235,neutral,1,neutral,1
145,65101,disgust,0,disagree,0
451,25034,happy,2,neutral,1
813,24044,hopeful,2,agree,2
996,45053,neutral,1,neutral,1
798,14675,angry,0,agree,2
1112,110258,hopeful,2,agree,2
477,107341,disgust,0,neutral,1
1063,137436,neutral,1,neutral,1
726,193229,hopeful,2,neutral,1
1171,186592,plea - disgust,0,agree,2
318,33592,sad,0,na,1
1026,54345,disgust,0,agree,2
140,188634,neutral,1,neutral,1
311,50003,happy,2,neutral,1
460,171372,disgust,0,neutral,1
961,161600,disgust,0,agree,2
891,195953,angry,0,neutral,1
748,141496,neutral,1,na,1
557,138374,disgust,0,neutral,1
943,6989,plea - neutral,1,agree,2
161,164376,plea - neutral,1,agree,2
1062,130519,disgust,0,neutral,1
199,100419,neutral,1,neutral,1
425,44680,disgust,0,neutral,1
376,60591,na,1,na,1
235,10270,disgust,0,agree,2
165,15200,disgust,0,agree,2
85,140241,disgust,0,neutral,1
167,6146,happy,2,neutral,1
1070,178421,plea - disgust,0,agree,2
1103,140587,disgust,0,neutral,1
811,69329,fear,0,refugee,3
863,149354,plea - disgust,0,agree,2
1041,998,fear,0,neutral,1
90,32662,disgust,0,neutral,1
191,89756,angry,0,neutral,1
737,86794,fear,0,na,1
706,52557,plea - neutral,1,agree,2
125,37112,plea - disgust,0,agree,2
725,156629,hopeful,2,agree,2
88,102213,disgust,0,disagree,0
438,76883,neutral,1,neutral,1
1067,75536,angry,0,neutral,1
665,126433,plea - fear,0,agree,2
1072,128475,na,1,na,1
440,116266,neutral,1,neutral,1
176,58520,fear,0,neutral,1
541,32655,fear,0,agree,2
818,52259,plea - fear,0,agree,2
658,58290,happy,2,na,1
169,148929,neutral,1,na,1
1097,35785,neutral,1,neutral,1
256,60036,happy,2,agree,2
862,133737,disgust,0,disagree,0
1122,87258,disgust,0,disagree,0
80,25769,disgust,0,neutral,1
1156,36014,fear,0,agree,2
826,45717,angry,0,disagree,0
1163,159034,disgust,0,disagree,0
531,139655,fear,0,agree,2
245,49006,happy,2,agree,2
677,94780,plea - neutral,1,agree,2
320,18479,happy,2,agree,2
274,147134,plea - sad,0,agree,2
548,2510,neutral,1,neutral,1
38,188813,plea - fear,0,agree,2
849,149822,happy,2,agree,2
99,182966,disgust,0,neutral,1
980,121149,disgust,0,agree,2
1145,124482,neutral,1,agree,2
871,57005,disgust,0,neutral,1
431,112779,fear,0,disagree,0
1172,55013,disgust,0,agree,2
596,97130,neutral,1,neutral,1
301,149279,hopeful,2,agree,2
1066,199822,fear,0,agree,2
1174,176759,disgust,0,neutral,1
928,138497,disgust,0,neutral,1
482,19674,neutral,1,neutral,1
967,106741,disgust,0,agree,2
467,168475,disgust,0,neutral,1
148,58037,neutral,1,neutral,1
319,139932,na,1,na,1
4,152666,hopeful,2,agree,2
843,143513,plea - disgust,0,agree,2
419,1608,happy,2,agree,2
1003,42235,disgust,0,agree,2
352,184992,sad,0,na,1
342,91637,neutral,1,na,1
979,8072,disgust,0,neutral,1
330,135976,plea - fear,0,refugee,3
848,61177,neutral,1,agree,2
858,147290,plea - disgust,0,agree,2
307,30017,plea - fear,0,agree,2
492,84425,plea - disgust,0,agree,2
1080,86466,happy,2,agree,2
259,93274,angry,0,neutral,1
33,82754,disgust,0,disagree,0
2,106982,disgust,0,neutral,1
0,170314,neutral,1,neutral,1
219,180027,angry,0,agree,2
218,35941,neutral,1,neutral,1
1143,192907,happy,2,agree,2
626,99945,plea - neutral,1,agree,2
329,180747,neutral,1,neutral,1
152,88634,disgust,0,agree,2
26,186248,fear,0,neutral,1
242,127897,happy,2,agree,2
250,21246,neutral,1,neutral,1
819,15961,neutral,1,neutral,1
597,126658,neutral,1,neutral,1
1010,97189,disgust,0,agree,2
143,28849,disgust,0,neutral,1
102,66047,plea - fear,0,agree,2
411,164136,disgust,0,neutral,1
589,40352,happy,2,agree,2
1036,92930,neutral,1,neutral,1
937,46848,plea - neutral,1,agree,2
496,107207,disgust,0,neutral,1
368,11815,disgust,0,neutral,1
300,172170,plea - disgust,0,agree,2
909,54876,hopeful,2,agree,2
94,174534,fear,0,neutral,1
179,5199,neutral,1,neutral,1
606,200939,disgust,0,agree,2
423,16077,happy,2,agree,2
519,27086,hopeful,2,neutral,1
209,177588,disgust,0,neutral,1
1082,94426,disgust,0,neutral,1
357,144450,plea - disgust,0,agree,2
16,171315,disgust,0,neutral,1
1030,97310,plea - hopeful,2,agree,2
889,131872,plea - disgust,0,agree,2
616,42471,plea - neutral,1,agree,2
936,9859,neutral,1,na,1
834,103301,angry,0,disagree,0
727,35121,fear,0,agree,2
1123,87792,disgust,0,neutral,1
1141,80193,angry,0,disagree,0
619,10295,angry,0,disagree,0
158,169289,happy,2,neutral,1
702,7571,happy,2,na,1
1129,198032,neutral,1,neutral,1
830,158437,plea - disgust,0,disagree,0
533,159926,neutral,1,neutral,1
405,20024,plea - neutral,1,agree,2
105,15850,disgust,0,neutral,1
636,113288,neutral,1,neutral,1
480,121749,disgust,0,neutral,1
302,31893,happy,2,neutral,1
536,102829,neutral,1,neutral,1
234,57965,angry,0,disagree,0
35,64869,happy,2,neutral,1
1046,138237,plea - disgust,0,agree,2
954,22320,happy,2,agree,2
151,186385,fear,0,neutral,1
646,30654,plea - neutral,1,agree,2
856,11057,disgust,0,agree,2
879,129514,angry,0,agree,2
736,185058,neutral,1,neutral,1
381,12512,disgust,0,agree,2
446,196819,plea - angry,0,neutral,1
1150,64595,angry,0,agree,2
551,63603,happy,2,na,1
413,130331,neutral,1,neutral,1
422,193500,neutral,1,neutral,1
487,109598,happy,2,agree,2
104,87982,na,1,na,1
1177,133413,disgust,0,neutral,1
243,51501,disgust,0,neutral,1
608,109712,plea - disgust,0,agree,2
690,109820,happy,2,na,1
89,7858,disgust,0,neutral,1
835,182581,fear,0,agree,2
657,78059,happy,2,agree,2
478,196900,neutral,1,neutral,1
917,66561,plea - happy,2,agree,2
1029,17667,neutral,1,neutral,1
1126,197848,happy,2,refugee,3
851,45158,happy,2,agree,2
842,136309,plea - neutral,1,agree,2
366,178347,hopeful,2,agree,2
723,86458,plea - disgust,0,agree,2
915,135153,angry,0,disagree,0
126,45472,plea - disgust,0,agree,2
614,102082,neutral,1,agree,2
40,164093,plea - sad,0,agree,2
386,165181,disgust,0,neutral,1
532,51859,disgust,0,agree,2
632,38187,neutral,1,neutral,1
114,167746,happy,2,agree,2
691,159923,plea - neutral,1,agree,2
675,143019,disgust,0,neutral,1
902,153303,neutral,1,neutral,1
1005,12458,plea - happy,2,agree,2
666,57102,happy,2,agree,2
620,510,fear,0,agree,2
279,162193,disgust,0,neutral,1
567,6706,disgust,0,neutral,1
898,41465,hopeful,2,agree,2
837,66074,disgust,0,disagree,0
709,454,plea - happy,2,agree,2
952,197788,neutral,1,neutral,1
981,28098,plea - disgust,0,agree,2
1190,159331,angry,0,neutral,1
1055,100208,disgust,0,neutral,1
778,85358,fear,0,disagree,0
890,188582,sad,0,refugee,3
277,126898,neutral,1,neutral,1
1166,85399,disgust,0,neutral,1
504,194485,plea - disgust,0,agree,2
730,99735,neutral,1,neutral,1
426,169548,plea - disgust,0,agree,2
896,2583,hopeful,2,agree,2
230,108893,neutral,1,neutral,1
288,50629,hopeful,2,agree,2
303,63268,disgust,0,neutral,1
42,115864,disgust,0,disagree,0
380,30466,neutral,1,neutral,1
900,134936,disgust,0,agree,2
445,148253,disgust,0,neutral,1
922,151372,disgust,0,neutral,1
552,30006,disgust,0,neutral,1
74,58510,happy,2,neutral,1
794,100140,fear,0,neutral,1
713,158652,fear,0,agree,2
931,107165,plea - fear,0,refugee,3
1204,29062,neutral,1,agree,2
611,181572,fear,0,neutral,1
524,752,plea - disgust,0,agree,2
240,38086,fear,0,na,1
313,140868,neutral,1,agree,2
687,192354,disgust,0,neutral,1
489,111463,disgust,0,neutral,1
1037,198341,na,1,na,1
430,127933,happy,2,neutral,1
498,109218,plea - neutral,1,agree,2
291,17931,disgust,0,neutral,1
1084,9587,na,1,na,1
472,144913,disgust,0,na,1
538,154824,plea - neutral,1,agree,2
1167,156260,sad,0,agree,2
171,100186,hopeful,2,agree,2
598,193118,happy,2,na,1
1128,85944,fear,0,agree,2
660,60493,plea - disgust,0,neutral,1
953,29305,plea - neutral,1,agree,2
574,144849,fear,0,agree,2
119,32451,plea - happy,2,agree,2
345,59538,plea - happy,2,agree,2
685,105212,disgust,0,disagree,0
18,155610,disgust,0,agree,2
449,78178,fear,0,neutral,1
328,10533,happy,2,agree,2
130,167307,neutral,1,neutral,1
494,64790,neutral,1,neutral,1
683,86135,happy,2,na,1
1058,108000,disgust,0,neutral,1
718,187818,plea - neutral,1,agree,2
643,69903,angry,0,disagree,0
1064,171473,neutral,1,neutral,1
48,192348,fear,0,agree,2
95,59580,fear,0,neutral,1
895,190375,happy,2,neutral,1
475,124302,disgust,0,disagree,0
918,174504,hopeful,2,agree,2
932,113157,neutral,1,neutral,1
1087,55624,happy,2,agree,2
225,49541,angry,0,disagree,0
1101,6190,na,1,na,1
491,76911,neutral,1,neutral,1
776,67133,disgust,0,agree,2
296,157856,plea - sad,0,agree,2
29,74101,fear,0,neutral,1
96,112197,happy,2,disagree,0
609,107966,fear,0,na,1
79,104884,disgust,0,agree,2
91,124719,neutral,1,neutral,1
87,103886,disgust,0,na,1
207,164790,disgust,0,disagree,0
241,128612,sad,0,agree,2
800,16793,angry,0,disagree,0
906,193452,plea - disgust,0,agree,2
568,188094,plea - disgust,0,neutral,1
617,176455,plea - neutral,1,agree,2
785,121092,happy,2,neutral,1
1051,18464,happy,2,na,1
388,98249,disgust,0,neutral,1
912,106935,fear,0,agree,2
228,165259,plea - fear,0,agree,2
802,12350,happy,2,agree,2
343,123411,angry,0,neutral,1
654,49517,happy,2,na,1
437,4725,fear,0,agree,2
258,30972,disgust,0,neutral,1
384,17565,happy,2,agree,2
810,39099,sad,0,neutral,1
1134,25545,neutral,1,neutral,1
916,162171,fear,0,neutral,1
137,174610,fear,0,neutral,1
420,191060,disgust,0,agree,2
899,13337,disgust,0,neutral,1
639,197768,happy,2,na,1
1179,127061,hopeful,2,agree,2
911,167356,angry,0,disagree,0
514,130745,disgust,0,neutral,1
1013,26814,plea - fear,0,refugee,3
14,77707,neutral,1,na,1
1004,16843,angry,0,disagree,0
269,174170,disgust,0,neutral,1
796,152324,disgust,0,agree,2
959,22583,plea - happy,2,agree,2
711,9888,disgust,0,neutral,1
771,81751,fear,0,neutral,1
584,27271,fear,0,agree,2
963,40616,disgust,0,neutral,1
1131,160859,plea - fear,0,agree,2
579,176872,happy,2,na,1
56,120212,fear,0,neutral,1
205,184099,hopeful,2,agree,2
553,198102,disgust,0,neutral,1
25,43686,plea - fear,0,agree,2
317,158551,plea - fear,0,agree,2
363,20812,plea - sad,0,refugee,3
1118,144428,disgust,0,disagree,0
229,96137,hopeful,2,agree,2
201,1831,neutral,1,neutral,1
54,95316,neutral,1,neutral,1
760,68387,neutral,1,na,1
692,171740,fear,0,agree,2
469,105724,happy,2,agree,2
1202,74373,happy,2,neutral,1
920,74523,disgust,0,agree,2
516,118808,plea - neutral,1,agree,2
455,45973,angry,0,disagree,0
712,183663,hopeful,2,agree,2
914,15920,disgust,0,agree,2
11,83219,angry,0,disagree,0
223,172537,disgust,0,disagree,0
674,175578,fear,0,agree,2
840,101637,neutral,1,agree,2
421,201026,disgust,0,agree,2
838,158274,disgust,0,agree,2
1096,105950,disgust,0,agree,2
261,66928,disgust,0,refugee,3
22,25826,disgust,0,neutral,1
46,180313,disgust,0,agree,2
1165,50811,disgust,0,agree,2
270,113106,disgust,0,neutral,1
163,187280,neutral,1,agree,2
530,182648,plea - neutral,1,agree,2
921,80386,disgust,0,disagree,0
1152,123726,neutral,1,agree,2
923,2147,fear,0,na,1
466,46494,disgust,0,neutral,1
294,15478,disgust,0,neutral,1
686,70465,disgust,0,neutral,1
610,186696,disgust,0,agree,2
647,136394,happy,2,agree,2
1106,110311,disgust,0,agree,2
595,64776,angry,0,disagree,0
515,14700,sad,0,neutral,1
1102,135888,happy,2,agree,2
1157,35964,sad,0,neutral,1
681,78209,neutral,1,neutral,1
53,24629,plea - sad,0,refugee,3
1162,105027,disgust,0,agree,2
982,167467,angry,0,agree,2
652,138813,plea - disgust,0,neutral,1
59,188826,neutral,1,neutral,1
924,90590,disgust,0,neutral,1
327,149596,disgust,0,neutral,1
1040,79386,plea - happy,2,agree,2
724,3083,disgust,0,neutral,1
995,53958,na,1,na,1
459,96167,disgust,0,neutral,1
36,196781,angry,0,refugee - na,3
365,3753,angry,0,agree,2
49,11709,disgust,0,neutral,1
880,7825,disgust,0,agree,2
973,76026,neutral,1,neutral,1
672,1190,disgust,0,agree,2
1021,9051,happy,2,neutral,1
456,91649,disgust,0,agree,2
1158,200257,disgust,0,agree,2
112,140347,disgust,0,neutral,1
447,186823,plea - disgust,0,agree,2
699,71097,disgust,0,disagree,0
602,60254,disgust,0,disagree,0
559,184385,disgust,0,neutral,1
1147,81740,neutral,1,neutral,1
535,53596,fear,0,agree,2
172,81162,fear,0,neutral,1
136,135582,fear,0,neutral,1
694,84217,disgust,0,agree,2
246,28678,neutral,1,neutral,1
841,128237,disgust,0,agree,2
833,9540,plea - neutral,1,agree,2
212,120006,hopeful,2,agree,2
67,82373,disgust,0,disagree,0
412,13089,happy,2,agree,2
1083,43446,happy,2,agree,2
62,133868,disgust,0,disagree,0
1161,186265,hopeful,2,agree,2
1054,106883,happy,2,agree,2
828,9726,disgust,0,agree,2
71,36252,neutral,1,neutral,1
558,181938,neutral,1,neutral,1
9,22119,neutral,1,neutral,1
1092,111151,disgust,0,neutral,1
651,56227,plea - happy,2,agree,2
739,192959,fear,0,agree,2
659,3195,plea - neutral,1,agree,2
299,19740,happy,2,agree,2
522,10503,sad,0,neutral,1
775,115570,angry,0,disagree,0
508,9494,disgust,0,neutral,1
260,4888,hopeful,2,agree,2
599,3741,hopeful,2,agree,2
615,171666,happy,2,agree,2
839,162063,neutral,1,neutral,1
83,128631,disgust,0,agree,2
333,131982,disgust,0,disagree,0
1160,86583,neutral,1,neutral,1
310,138605,neutral,1,neutral,1
495,86613,disgust,0,neutral,1
473,178113,happy,2,neutral,1
402,99443,disgust,0,agree,2
913,130863,disgust,0,agree,2
1139,47918,disgust,0,neutral,1
966,43302,disgust,0,agree,2
142,18646,neutral,1,na,1
822,149312,hopeful,2,agree,2
1024,82765,disgust,0,agree,2
884,93891,disgust,0,disagree,0
1057,43871,angry,0,disagree,0
623,95517,disgust,0,neutral,1
254,138135,sad,0,agree,2
607,70957,hopeful,2,refugee,3
790,91903,neutral,1,neutral,1
82,69061,disgust,0,agree,2
164,155830,hopeful,2,agree,2
768,134303,hopeful,2,agree,2
642,105079,disgust,0,agree,2
705,97676,happy,2,agree,2
335,164693,neutral,1,neutral,1
956,61860,happy,2,neutral,1
563,150784,angry,0,disagree,0
777,180240,plea - disgust,0,agree,2
251,101299,plea - neutral,1,agree,2
468,58238,happy,2,na,1
1088,102185,na,1,na,1
1189,45680,disgust,0,disagree,0
753,27703,plea - sad,0,neutral,1
1201,32834,angry,0,neutral,1
361,115381,neutral,1,neutral,1
680,184163,na,1,na,1
1133,78983,angry,0,neutral,1
575,61126,neutral,1,neutral,1
817,98588,neutral,1,neutral,1
372,53295,plea - sad,0,refugee,3
1098,131370,disgust,0,agree,2
194,44542,neutral,1,neutral,1
696,131696,happy,2,neutral,1
358,76124,plea - disgust,0,na,1
719,144046,disgust,0,neutral,1
97,147828,fear,0,neutral,1
716,177959,happy,2,agree,2
1186,106775,disgust,0,neutral,1
1099,124207,angry,0,agree,2
379,39214,angry,0,disagree,0
170,32376,disgust,0,refugee,3
65,177190,plea - disgust,0,refugee,3
391,134034,happy,2,agree,2
886,161717,neutral,1,agree,2
461,144927,happy,2,agree,2
369,152242,disgust,0,agree,2
127,122570,sad,0,agree,2
75,89228,disgust,0,agree,2
750,102746,neutral,1,na,1
47,106339,disgust,0,agree,2
715,91190,disgust,0,neutral,1
141,122329,disgust,0,agree,2
958,200943,angry,0,neutral,1
44,181827,plea - sad,0,agree,2
244,105465,disgust,0,neutral,1
3,31609,plea - disgust,0,refugee - agree,3
949,186712,angry,0,disagree,0
1176,51911,disgust,0,agree,2
576,107472,disgust,0,neutral,1
385,24334,disgust,0,neutral,1
704,21364,happy,2,na,1
1095,38060,disgust,0,disagree,0
28,183970,disgust,0,agree,2
501,65144,plea - neutral,1,agree,2
1100,196779,hopeful,2,agree,2
714,185265,disgust,0,disagree,0
587,44652,disgust,0,neutral,1
629,19605,neutral,1,neutral,1
783,148051,disgust,0,agree,2
641,191827,fear,0,agree,2
804,121593,disgust,0,agree,2
976,141728,neutral,1,neutral,1
206,165200,plea - neutral,1,agree,2
621,39950,disgust,0,neutral,1
1045,97052,fear,0,neutral,1
400,195587,plea - fear,0,agree,2
116,131085,neutral,1,neutral,1
396,59550,plea - fear,0,refugee,3
278,182348,plea - disgust,0,neutral,1
901,196145,fear,0,agree,2
204,199819,disgust,0,agree,2
110,141243,neutral,1,neutral,1
362,97586,disgust,0,neutral,1
6,22174,happy,2,na,1
965,67316,surprise,2,neutral,1
129,29234,disgust,0,neutral,1
45,196452,angry,0,neutral,1
1060,612,happy,2,agree,2
439,149301,hopeful,2,agree,2
76,110571,fear,0,neutral,1
1032,109954,na,1,na,1
701,171012,hopeful,2,agree,2
1016,54327,disgust,0,disagree,0
156,31582,disgust,0,neutral,1
689,23284,fear,0,agree,2
572,177329,hopeful,2,neutral,1
1144,86986,disgust,0,disagree,0
661,108581,disgust,0,agree,2
403,113724,happy,2,agree,2
134,16193,sad,0,neutral,1
321,62595,angry,0,disagree,0
41,188372,fear,0,neutral,1
815,79078,plea - neutral,1,neutral,1
613,11317,plea - neutral,1,agree,2
1035,140411,neutral,1,neutral,1
605,160760,plea - neutral,1,neutral,1
986,14492,disgust,0,na,1
805,105376,plea - neutral,1,agree,2
348,78842,disgust,0,neutral,1
528,21634,plea - neutral,1,agree,2
1043,73388,neutral,1,neutral,1
820,7028,angry,0,disagree,0
103,94977,fear,0,neutral,1
951,147551,neutral,1,neutral,1
324,95610,angry,0,neutral,1
135,119623,disgust,0,neutral,1
850,108848,disgust,0,neutral,1
187,46916,plea - neutral,1,agree,2
115,7643,disgust,0,na,1
133,168189,disgust,0,agree,2
1034,7076,disgust,0,disagree,0
109,140780,happy,2,agree,2
332,60403,happy,2,neutral,1
1018,159404,disgust,0,neutral,1
540,94250,disgust,0,disagree,0
1007,43777,sad,0,agree,2
693,61259,plea - disgust,0,disagree,0
198,116718,neutral,1,neutral,1
1197,38475,neutral,1,neutral,1
964,50428,angry,0,agree,2
323,10204,angry,0,neutral,1
418,19189,plea - sad,0,agree,2
81,63430,neutral,1,neutral,1
573,66669,happy,2,neutral,1
375,102907,neutral,1,neutral,1
684,170353,fear,0,refugee,3
497,158782,disgust,0,agree,2
510,134803,disgust,0,neutral,1
1117,63173,plea - hopeful,2,agree,2
578,97730,disgust,0,na,1
885,162551,hopeful,2,agree,2
32,122052,disgust,0,neutral,1
946,13098,hopeful,2,agree,2
117,161273,disgust,0,agree,2
604,201328,neutral,1,agree,2
453,54653,disgust,0,neutral,1
1019,66687,happy,2,agree,2
51,88561,disgust,0,agree,2
745,73346,happy,2,agree,2
662,51940,angry,0,disagree,0
1044,161543,disgust,0,neutral,1
671,48755,disgust,0,disagree,0
668,128734,hopeful,2,agree,2
70,96067,neutral,1,neutral,1
275,29555,fear,0,refugee,3
248,61592,angry,0,neutral,1
122,140781,plea - disgust,0,agree,2
124,182930,disgust,0,neutral,1
788,94749,angry,0,disagree,0
765,40500,disgust,0,disagree,0
729,160231,angry,0,disagree,0
577,39603,disgust,0,agree,2
630,106628,fear,0,disagree,0
1181,110484,angry,0,neutral,1
752,5759,disgust,0,neutral,1
367,168195,plea - neutral,1,agree,2
1079,47459,happy,2,agree,2
107,85013,neutral,1,neutral,1
210,45761,neutral,1,neutral,1
506,25533,disgust,0,neutral,1
334,168498,disgust,0,agree,2
1130,74661,plea - hopeful,2,agree,2
782,149133,angry,0,disagree,0
428,50606,disgust,0,agree,2
356,88018,plea - disgust,0,agree,2
991,38913,angry,0,agree,2
1091,173495,disgust,0,agree,2
132,185132,neutral,1,neutral,1
128,145141,angry,0,disagree,0
769,106799,happy,2,neutral,1
634,186174,happy,2,na,1
401,147707,happy,2,neutral,1
174,146287,disgust,0,agree,2
990,69580,plea - hopeful,2,agree,2
429,20664,disgust,0,agree,2
987,29957,happy,2,agree,2
1001,108973,happy,2,neutral,1
322,144025,neutral,1,neutral,1
197,48344,neutral,1,neutral,1
100,146213,happy,2,agree,2
855,196908,neutral,1,neutral,1
543,193862,fear,0,neutral,1
571,193036,happy,2,agree,2
731,8359,fear,0,refugee,3
925,13847,plea - disgust,0,agree,2
463,80246,disgust,0,disagree,0
373,74670,sad,0,neutral,1
34,61753,disgust,0,agree,2
