,id_stable,Date,ContentClean
1140,73156,2021-09-16 20:37:11+00:00,"The Biden administration has begun notifying governors and state refugee coordinators about how many Afghan evacuees from the first group of nearly 37,000 arrivals are slated to be resettled in their states."
58,130138,2021-08-21 21:39:24+00:00,How did refugees from Afghanistan get here when we can't even bring our own home? Why is their relocation programs instead of rescues? Does Biden really want to be a mass murderer in the history books? If he thinks this is not on his conscience he is sorely mistaken.
435,61708,2021-09-30 14:20:24+00:00,Tens of thousands of Afghan refugees are living in the US in makeshift tent cities. The food? Bad. The clothing? Not warm enough. Read Abul Ahmed describe the conditions in one of America's new refugee camps:
1104,154667,2021-08-17 15:14:41+00:00,Taliban spokesman reiterates ‘amnesty’ for all translators who worked for the Americans + allies in #afghanistan “No one will come after them”.
316,105818,2021-08-28 17:40:04+00:00,Biden evacuating Cows over US Citizens and SIV's !! Leaves 85 billion dollars worth of high tech weapons but saves cows. #BidenDisaster #BidenIsACoward #AfghanistanCrisis #Afghan #AFghanistan
265,48365,2021-10-30 14:23:20+00:00,"From the Afghan refugees they supposedly ""vetted"" like they would at the border right lol"
39,67845,2021-09-22 07:47:53+00:00,Turkey asks world to find solution to 'refugee problem' at UNGA amid Afghan crisis
941,83396,2021-09-08 10:29:20+00:00,"Since when does it take that much money to put someone into an apt? Biden is spending our tax dollars for everyone except Americans. He���s like a kid in an ice cream shop ~ ~ Biden Asks Congress For $6.4 Billion in Taxpayer Money to Resettle 95,000 Afgha"
1149,48478,2021-10-30 10:41:00+00:00,Refugee center opens in Brattleboro #Vermont as region readies for #Afghan arrivals via
61,188394,2021-07-05 11:11:02+00:00,"“The Embassy has seen some media reports regarding closure of #Pakistan Consulate in Mazar-e-Sharif and relocation of its diplomats in #Kabul,” said an official communique released by the consulate. #Pakistan #Afghanistan #FactCheck"
728,15441,2022-02-25 01:45:29+00:00,OMG cant Loudoun County get a break? I'm sure it's all those well vetted Afghanistan evacuees... clown_face_e :globe_showing_Asia-Australia:
175,119930,2021-08-24 19:39:07+00:00,US has 20 years using and vetting Afghans. Is 20 years not enough or you just don't want them?
1108,142097,2021-08-19 07:33:19+00:00,"Let them not hurt the kids, what's their fault. They don't even know what happens with them. Hope all world leader get the island & establish all people of Afghanistan who wants refugee.with the help of all world citizens. The world has a lot of islands."
772,63713,2021-09-27 14:25:01+00:00,Biden's vetted Afghanistan refugees are committing crimes
60,198715,2021-01-03 15:12:46+00:00,"Chanting “Allahu akbar” strongly reminds to Islamic jihadists in Bosnia during war, or Afghanistan, Syria.... I used to be refugee and we didn’t looked or behaved like this."
77,153478,2021-08-17 18:02:17+00:00,Afghans fleeing the ravaged Afghanistan will have a home in Uganda. Uganda is currently the largest refugee host in Africa. #SEETVPMEDITION
544,111565,2021-08-26 20:29:29+00:00,"Trump made a deal with the “devil”, Taliban ldr Baradar & allowed 5000 Taliban, Isis etc out of prison as part of the deal. Along with the racist Trump squelched the SIV program for our Afghan partners. #Afghanistan #KabulExplosion #KabulAiport"
648,183300,2021-07-23 14:01:28+00:00,"Some good news to start off the weekend: in an overwhelmingly bipartisan vote yesterday, the House voted to increase the number of Special Immigrant Visas to allow more Afghan allies to immigrate to the United States."
539,112304,2021-08-26 16:58:28+00:00,Yes tard nard. Im sure 1m plus un vetted people surging across the border the last few months. Along with the 26k refugees to 1400 Americans coming in from Afghanistan has nothing to do with any of it. DERP. I EAT PEAS I SPEACIAL!
239,96594,2021-09-01 11:51:29+00:00,"The UN Refugee Agency in Canada works to support refugees, displaced and stateless people around the world. Afghanistan is a major focus at the moment."
998,87106,2021-09-05 23:37:02+00:00,People of color ARE routinely oppressed. Look at the discussion around Afghan asylum seekers right now.
808,74077,2021-09-16 05:13:37+00:00,"Do recall in Biden's America, if you're on Welfare and don't work, or if you're an illegal crossing our border (who will not be tested for Covid or vaxed), or an Afghan refugee, you are exempt from Joe's vax mandate. It's only for working Am citizens. Thinking about that. thinking_face_e face_with_symbols_on_mouth_e "
759,106529,2021-08-28 12:54:55+00:00,"Ilhan Omar: As a refugee, I want America to open its arms to those fleeing Afghanistan"
795,116971,2021-08-25 14:48:23+00:00,Mr. President why did you stop allowing Afghan SIV and those brave Afghans who assisted the U.S. from entering HKIA days ago? When you made the decision to not stay why didn’t you cut the red tape to allow the SIV process to go more smoothly? Now you refuse to extend the deadline
267,172531,2021-08-15 04:48:40+00:00,So countries from Far regions would come to Afghanistan and play their interesta which effected Pakistan and you expect Pakistan to sit back and do nothing! Russians started Refugee Problem!
1014,128453,2021-08-22 14:00:56+00:00,"The #US has between 50000 and 80000 Afghans in the SIV (Special Immigrant Visa application) pipeline, if we count family members. How many were evacuated? A tiny fraction, not even 5000. #Afghanistan #KabulAiport"
450,50394,2021-10-26 01:23:10+00:00,"How can Canada best deliver on its commitment to resettle 40,000 Afghans? “It’s really important that Afghans themselves are part of that conversation,” James Milner tells Read more in this compelling piece in"
1195,95865,2021-09-01 17:12:17+00:00,"""Welcoming these Afghans isn’t just about what they’ve done, it’s about who we are.” - on the Afghan refugees being resettled in America."
846,175854,2021-08-12 20:18:08+00:00,"when will the Biden administration help get all the Afghanistan translators, who helped our troops, get out before they get slaughtered!!!??? We’re sending troops into Kabul to get embassy folks out but please don’t forget these allies who saved our men & women!"
190,78781,2021-09-11 09:31:07+00:00,No Afghan refugee exodus yet but 'massive displacement' possible -U.N. refugee agency | Reuters
464,185048,2021-07-16 01:49:00+00:00,"With Taliban on rampage, US looks to evacuate interpreters, translators from Afghanistan; who said what on troop withdrawal"
960,51837,2021-10-22 05:57:22+00:00,Montana governor demands an halt to resettlement after Afghan evacuee charged with rape of a woman
173,150539,2021-08-18 02:54:01+00:00,"Around 100,000 Afghans need to be resettled to USA or elsewhere. USA can't leave them"
903,121083,2021-08-24 14:47:19+00:00,"At 12PM The President delivers remarks on our ongoing efforts in Afghanistan to evacuate American citizens, SIV applicants and their families, and other vulnerable Afghans, and his meeting with fellow G7 leaders on how our nations can come together in support of the Afghan people"
764,193200,2021-05-29 22:11:46+00:00,Dozens of former Afghan translators and their families are set to fly to the UK
21,53388,2021-10-18 13:32:57+00:00,No country for asylum seekers! #Afghanistan
824,82723,2021-09-08 18:25:00+00:00,The White House asked Congress to include tens of billions of dollars for Hurricane Ida relief and Afghan resettlement as part of an upcoming continuing resolution to avoid a partial government shutdown on October 1.
1033,102062,2021-08-30 14:56:25+00:00,"Hey I can tell you about an SIV applicant & his family, including a 4 yr old, still trapped in Afghanistan & who need help. I can tell you about a P2 Female journalist trapped & targeted by Taliban who’s father was killed by Taliban while serving alongside US."
138,37838,2021-12-03 12:29:14+00:00,We agree! #Afghanistan is an example of where the needs of Afghans with disabilities were not considered in the evacuation process and in resettlement.
1187,36110,2021-12-08 12:18:18+00:00,The PM cannot commit to having the Afghan Citizen Resettlement Scheme ready by Xmas #PMQs
1022,7441,2022-03-22 09:47:00+00:00,"Breaking ""Over 16,000 #Rohingyas seeking asylum in India"". We don't want in India even one Rohingya, Bangladeshi, Pakistani and Afghani. We want HM to order their deportation without losing a moment. Bharat is not a dharamshala where any Tom, Dick & Harry settle."
603,190795,2021-06-18 15:48:00+00:00,"Forced displacement at record level, despite COVID shutdowns: #UN Refugee Agency #Afghanistan #ClimateChange #Colombia #Ethiopia #Germany #Mozambique #Pakistan #SouthSudan #Sudan #Syria #Turkey #Uganda #UnHighCommissioner #Venezuela #Yemen"
897,77753,2021-09-12 20:03:25+00:00,"No maybe not, however I know an Afghan refugee who came to U.K. when he was 9 years old, he joined the Parachute Regiment when he was 18. As the Paras would say “You’re a sack of shit”"
111,63535,2021-09-27 19:34:30+00:00,"Trump Slams Afghan Refugee Plan, Defends Travel Ban United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e United_States_e "
860,124439,2021-08-23 17:00:05+00:00,"He knows they refugee program, especially from Afghan, are extremely vetted. Shameless"
1115,60969,2021-10-01 10:10:29+00:00,"I would like to note, ALL RINO'S VOTING FOR ANY OF THIS DEBT, INCLUDING THE FUNDING THE GOVERNMENT ALONG WITH BILLIONS FOR ALL THE UNVETTED AFGHANS WHO WEREN'T THE TRANSLATORS."
893,125830,2021-08-23 08:43:29+00:00,"Harris laughs at, shuts down questions as she says Afghanistan is her highest priority how can people of other countries be our top priority? American people are low on the list when help is needed and we need to tax you to help pay the bills for refugee's"
465,99797,2021-08-31 10:21:04+00:00,"The media last week were wheeling out professional Afghan migrants that claimed asylum, and not one of them thought about asking them why they return home for holidays, if it was so dangerous they needed to claim asylum."
564,145219,2021-08-18 17:59:47+00:00,New UK resettlement scheme for Afghans may be expanded: Home Secretary
957,103367,2021-08-29 20:40:58+00:00,"Truly barking mad, but Britain says 'Dogs welcome no Afghan asylum seekers'."
1137,100923,2021-08-30 23:29:37+00:00,You are of course going to talk about tRump admin destroying the process to process Afghanistan translators paperwork?
483,49871,2021-10-27 01:25:07+00:00,U.N. Wants U.S. to Take More Afghans as Soros Aids Biden's Resettlement WELCOME TO THE NEW WORLD ORDER…OR EVIL EMPIRE AS I SEE IT
314,1283,2022-04-20 12:51:25+00:00,"MrBiden! I am one of your ally stuck in kabul due to SIV bureaucracy We are in hidden since August 2021,our kids are restricted of education B/I served for USA &NATO. Why USA&NATO authorities are not caring of their allies stuck in Afghanistan? Where is humanity? Where justice?"
1169,107466,2021-08-28 01:33:58+00:00,"Now that the foreign forces are leaving, the must urgently focus on arranging a humanitarian corridor to help the Afghans with SIV and other visas to leave the country. #Afghanistan"
781,199489,2021-09-10 15:34:31+00:00,"Almost ALL our interpreters, SIV holders and their CHILDREN still left behind. These people risked everything and SAVED soldiers lives! I thought you were more compassionate than Trump but with the withdrawal and aftermath it seems like you don’t even care just want to move on."
458,72388,2021-09-17 08:42:18+00:00,"Dutch Foreign Minister Kaag quits over Afghan refugee crisis Former diplomat Kaag served as U.N. special coordinator for Lebanon in 2015-2017, & before that headed a U.N. team overseeing the destruction of Syria’s chemical weapons. #ArianaNews #Dutch"
908,104449,2021-08-29 09:52:35+00:00,Biden’s plan is to rescue Afghans and resettle them into the US. Americans are not a priority. It’s all part of the democrat plan to flood the country with illegal and Afghans. #ImpeachBiden #BidenIsATraitor #BidenIsADisgrace
442,97472,2021-09-01 01:41:35+00:00,Taliban are on the trail of revenge: Jihadis start hunt for translators as soon as Western troops exit Afghanistan
5,192543,2021-06-03 06:00:00+00:00,"Like thousands of Afghan translators who served with NATO forces, Nazir Ahmad fears for his life as the US-led alliance scrambles to pull out of the country in the coming weeks. #NATO #Afghanistan"
612,170241,2021-08-15 18:07:15+00:00,These are the Afghan Nazi daul citizens who used to tell us we were refugee in our own land and they own everything here. Fatheefkrs begging America to evacuate them.
237,42209,2021-11-21 13:05:18+00:00,"Hate ruthless #UK & its MSM. All chat around '#migrant numbers' but no ref to the biggest refugee crisis ever, or UK being the 2nd biggest #arms exporter & major shxt stirrer. No one chooses to flee their home. #Afghanistan #Syria #Palestine #ScottishIndependence #HumanRights"
181,84635,2021-09-07 17:06:54+00:00,Afghan refugees at Wisconsin Army base lack complete vetting but can leave any time
565,9270,2022-03-14 22:12:23+00:00,"Considering how the Afghan refugee situation has gone, it’s frightening he would even say this publicly."
280,126183,2021-08-23 05:01:18+00:00,what muslim majority man most of the muslim countries blocked afghan refugee and u people called yourself muslims..non muslim countries are helping afghan refugee now
72,146395,2021-08-18 15:12:28+00:00,The amazing “oppositional” CHP launched a new slogan in the midst of the catastrophe unfolding in Afghanistan and the Turkish military bombing Rojava/Shingal: “The border is honour”. This is not only fueling Turkey’s growing anti-refugee sentiment but a call for racist mobs.
631,168059,2021-08-16 03:09:54+00:00,What’s disappointing is this Government left those that helped our Defence Force without granting asylum and handed them a death sentence. #Afghanistan
869,158271,2021-08-17 05:02:11+00:00,"He did not ""endorse Taliban"". Pakistan never had the capacity of supporting and financing anyone else in last 20 years when it was fighting insurgency within its own borders due to Afghan refugee influx. Hoards of refugees are coming to us. Stop blaming NATO failure on us."
341,42883,2021-11-18 17:08:09+00:00,US considering returning some evacuees who don`t pass vetting process to Afghanistan
404,79189,2021-09-10 22:00:21+00:00,Assets at Dyess Air Force Base have been assisting in the humanitarian efforts to help Afghan refugees resettle in the United States. #AbileneTX #DyessAFB #OperationAlliesWelcome #afghans
633,2843,2022-04-14 15:51:13+00:00,Or Afghanistan refugees/asylum seekers? We know many are still trying to get here after being left behind.. desperate situation and cruel policy..I hope it never happens
452,173761,2021-08-14 12:17:46+00:00,"My opinion on Afghanistan: we should do a very *very* thorough investigation into why they couldn't prepare for this in 20 years. If we find it was our mistake or that something can be done, we go back and fix this. Otherwise, we start an international refugee relocation effort."
364,138282,2021-08-19 22:20:21+00:00,Are these the Afghan translators and interpreters that have a tendency to rape children? Afghans should be held in the region not transported to the UK to endanger British children.
721,109001,2021-08-27 16:19:49+00:00,"NEW, thread: Sources tell me & Afghan refugees waited 10 hours on the tarmac at Dulles while the vetting process was completed before deplaning."
282,119421,2021-08-24 21:31:31+00:00,Why couldn’t the Afghans get their SIV’s more quickly?
354,144252,2021-08-18 20:59:30+00:00,Afghanistan has quadrupled its population in a half century. It nearly doubled its population during the American occupation. It's a refugee factory.
1127,87556,2021-09-05 18:19:27+00:00,"Germany : 29-year-old Afghan refugee has stabbed a 58-year-old female landscape gardener in Berlin in the neck multiple times ""because he is opposed as women are working"". #AfghanistanCrisis #Refugee #women #AfghanRefugees #Panjshir #Germany #USA"
23,42353,2021-11-20 14:33:51+00:00,Tell that to the female Afghan refugee that wants to get an abortion in Texas after she was raped
93,494,2022-04-24 00:34:26+00:00,"Yes, Ann Linde, Please please use your influence in government to make sure Hazaran asylum seekers are not sent back to Afghanistan!"
436,112175,2021-08-26 17:36:20+00:00,How prepared is Europe for an Afghan refugee influx? via
1125,46486,2021-11-06 14:04:45+00:00,"If interested to help Afghans to resettle, there's a Gov Sponsor Circle Program for Afghans where you'll be vetted, trained, & certified to form sponsor circles."
297,46187,2021-11-08 07:14:14+00:00,Post Edited: Competition helps Afghan refugee rebuild her business
1124,175611,2021-08-13 03:40:35+00:00,"2) Regardless, the current withdrawal had no visible plan to evacuate the Afghanistan translators who assisted us at great risk. Failure to do so is a moral outrage. The “democratic” government was not doing enough to meet the population’ needs"
66,163740,2021-08-16 16:41:40+00:00,"“The government’s anti-refugee Bill would pull up the drawbridge to Afghans arriving in the UK and offers no alternative safe routes to safety."" in on why the situation in Afghanistan demands we throw out the #AntiRefugeeBill"
766,93015,2021-09-02 20:47:46+00:00,"Who the hell are these 100,000+ Afghan refugees? They are not the Afghan translators that were supposed to be on the planes out of Afghanistan! No prior vetting…coming to a city near you!"
784,137079,2021-08-20 06:45:36+00:00,First migrant crisis then 2nd wave then afghan crisis. Unforgettable images in my head. broken_heart_e 
271,55133,2021-10-13 15:57:05+00:00,please help me I am an afghan woman SIV applicant left behind in Afghanistan
180,158118,2021-08-17 05:35:58+00:00,Ok then we should give asylum to Afghan womens only nt men
786,156930,2021-08-17 09:23:52+00:00,"I struggle to distinguish ""high risk"" to ""low risk"" Afgan women. I can see that some were living a more public life than others before, but all girls and women in Afghanistan are in danger and granting asylum only to some would be criminal and inhumane."
10,132517,2021-08-21 07:13:43+00:00,Kent Refugee Action Network need your help to continue their great work supporting young refugees. Many young Afghan refugees are now terrified of being sent back into the hands of Taliban.
220,26714,2022-01-11 18:50:26+00:00,Today I shared a moment with an Afghan refugee woman. We don't speak each other's language but we shared our tattoos with each other. #RefugeesWelcome
264,18154,2022-02-15 12:24:17+00:00,"New video today #AWarmWelcome? exposes dangerously slow progress on Afghan resettlement & how the Government's #AntiRefugeeBill will close the door on ppl seeking safety from #Afghanistan. Share & write to your MP calling for protection, not punishment."
1015,55720,2021-10-12 07:49:11+00:00,Our poor/ or Homeless? Because when you try to help a homeless person. they want cash or you to fuck off. sooo. refugees from where? Belize and el salvador and south americans should save their own shit and not come here. Afghans ok but poverty is not a need for asylum.
434,122776,2021-08-24 02:30:36+00:00,You mean the guy who had no plan for the evacuation of Americans from Afghanistan? He definitely doesn't have a plan to vet refugees.
414,40877,2021-11-25 09:40:34+00:00,Pakistan Government’s narrative on Afghan Refugee Influx #CRSS #Pakistan
182,58896,2021-10-05 02:54:21+00:00,"I did see ONE legit Afghan refugee who was “rescued” in the first days, interviewed. One. That’s it."
222,122948,2021-08-24 01:05:15+00:00,"""Don't mind us, Afghan Army soldiers. It's true we're evacuating tens of thousands of your civil-society leaders, teachers, politicians, and all our translators, as well as every American in-country. But we still have faith you'll hold the line against the Taliban! No, really!"""
312,96306,2021-09-01 14:20:25+00:00,"The Ugly End We All Saw Coming Common sense would tell us, that with the exit that is taking place this fast…there is no way every Afghan refugee could be vetted properly! No “F….ing” way! angry_face_with_horns_e "
485,73793,2021-09-16 12:42:51+00:00,Did #Pakistan choose to conveniently forget about the huge refugee crisis that it created out of its own #PakTerror in destroying #Afghanistan?
139,169677,2021-08-15 20:11:03+00:00,"If you're reading about the US scrambling to evacuate Afghan SIVs, please know that the Trump administration completely destroyed the refugee resettlement program and now there's no capacity to resettle them"
888,25419,2022-01-17 08:30:13+00:00,#Propaganda against Pakistan and Afghanistan by the #Beneficiaries of foreign funded agents / asylum seekers / fake human rights activities.
722,198753,2021-01-02 07:28:04+00:00,Thanks for Sharing your thoughts on the Afghan and Iraqi translators .... That are under threat for helping the U.S. #humanrights #humanrightsviolations
707,63364,2021-09-28 02:28:38+00:00,"Regarding the Afghan refugees, the stupid idiots put out this stupid hashtag: #WeHaveRoom And now they’re ignoring the sexual assault of one our servicewomen by one of those filthy unvetted refugees."
1168,3829,2022-04-09 13:30:37+00:00,World is silent to our Afghan refugees situation in our neighborhood borders and Turkey Greece. Afghan need respect and protection as refugee. Thanks for sharing horrible to see and those torture and discrimination abuse of their dignity. Marg ba Iran
773,145914,2021-08-18 16:16:52+00:00,". We want all applications for refugee status in Afghanistan and elsewhere to apply locally to the British Embassy for refugee status. If an individual is not a genuine refugee and is rejected, it is far more effective to refuse them there than return them from the #UK."
640,127134,2021-08-22 21:03:48+00:00,Why aren't you calling Issa out on how the Trump administration sabotaged the SIV for Afghanistan allies?
1110,190781,2021-06-18 16:47:23+00:00,Trump immigration czar Stephen Miller says Afghan translators who face death for helping US forces should stay there to 'help rebuild' the country
977,129494,2021-08-22 03:40:08+00:00,"I am glad you realized that it's inhumane to use Museveni a despot president ofUganda who terrorizes his own people in this relocation process of our fellow global citizens from Afghanistan.Terrorism, global pandemics and refugees issues are Museveni’s games. #freeFredLumbuye"
985,198633,2021-01-07 11:35:28+00:00,“It's really important for us to keep our neighborhood clean; many families with small children are living here.” The Afghan asylum-seeking father volunteering in a litter collection effort around Vathy camp on Samos island echoes a basic human need of all people.
555,4073,2022-04-08 10:22:30+00:00,Very very upsetting broken_heart_e loudly_crying_face_e who's paying money to countries like Pakistan and Iran to do this? Another question is who's not paying enough money to support Afghans? As this is leading to the resettlement delays this thread mentions. Biden thinks you can fight the Taliban alone too pouting_face_e 
1023,192527,2021-06-03 08:46:32+00:00,‘They will behead us’: Afghan translators fear being left behind
377,99238,2021-08-31 14:29:36+00:00,EU plans €600m package for Afghanistan’s neighbours to avert refugee crisis Thank you EU European_Union_e 
1025,30954,2021-12-27 18:36:27+00:00,"""By using electronic HR data as provided to the US Govt by companies, and in support of expediting evacuation, current or former Afghan employees will be automatically matched through the Project Rabbit data base and moved to the Chief of Mission (COM) phase of the SIV process."""
984,195927,2021-04-13 06:45:36+00:00,"I like your second screenshot which says mass exodus refers to ""when everyone leaves at the same time"" So instead of arguing with me, you should be asking that by this term does she mean ""Every Afghan refugee left for Peshawar at the same time""?"
1155,159414,2021-08-17 01:17:59+00:00,"If he will resettle Afghan women and children in the US, and what he regrets most about pulling out of Afghanistan. How is this admin going to decisively fight disinformation? We cannot last for long without even agreeing on settled facts."
1017,110115,2021-08-27 08:47:39+00:00,"Update on those families from California who'd been stuck in Afghanistan. Some clarity here: - Families traveled separately, not on an organized trip. - Most had come to US on SIV. - Felt urgency to go visit family after COVID travel restrictions eased."
233,16672,2022-02-20 19:22:44+00:00,"Flee (2021) Absolutely fantastic. It might sound niche when you try to describe it - a Danish animated documentary about an Afghan refugee. But it's so worth giving it a go, with a beautiful animation style to compliment an incredible tale. One of the year's best. (10/10)"
55,86895,2021-09-06 03:23:06+00:00,"Afghan SIV holder details his harrowing journey to the US Over 40,000 evacuees from Afghanistan have been admitted into the United States. CNN's Brynn Gingras talks with one translator who is terrified for the rest of his family still in his home country."
861,102849,2021-08-30 04:45:47+00:00,"Is it hateful to describe (i.e. categorize) this hypothetical person as ""Afghan,"" ""refugee,"" ""kid,"" ""he,"" or ""she""? These aren't artificial categories; they have meaning."
360,68759,2021-09-21 12:17:14+00:00,tories have signed a death warrant for Afghanistan translators and their families . was it on purpose . TORIES ARE SO EVIL
792,72423,2021-09-17 07:54:51+00:00,Afghan refugee: Being caught by Taliban 'was like a scary movie'
293,24855,2022-01-19 16:00:24+00:00," airplane_departure_e  airplane_departure_e  airplane_departure_e FLEE, the breathtaking story of a man's journey as a child refugee from Afghanistan, opens this Friday 1/21. Tickets on sale now!"
157,80346,2021-09-10 01:37:27+00:00,"Funny how made no mention of the people streaming over our southern border, nor the unvetted ""refugees"" coming in from Afghanistan. I guess future democrat voters don't count in these mandates, huh?"
1011,84462,2021-09-07 19:02:12+00:00,"White House asks Congress to pass emergency funding for disaster aid, Afghan resettlement as well as spending bill to avert shutdown By Jeff Stein"
