,id_stable,Date,Content,ContentClean,Labels,n_CapLetters,CapsRatio,AllCapWords,https,Mentions,Location,ReplyCount,RetweetCount,LikeCount,QuoteCount,Hashtags,Flag
10,86135,2021-09-06 16:26:00+00:00,"🔜Anissa Bonnefont’s documentary that tells the story of @nadia_nadim, an Afghan refugee who has become a world-renowned soccer star, will be screened at #VirtualScreeningsWorldwide
It's a @canalplus Création Documentaire film co-produced by @FederationEnt
https://t.co/a4P083pp5D","🔜Anissa Bonnefont’s documentary that tells the story of   an Afghan refugee who has become a world-renowned soccer star, will be screened at #VirtualScreeningsWorldwide
It's a   Création Documentaire film co-produced by  
 ",happy / na,9,0.0403587443946188,,https://t.co/a4P083pp5D,"@nadia_nadim,, @canalplus, @FederationEnt",English-speaking,0,1,0,0,['VirtualScreeningsWorldwide'],yes
11,170353,2021-08-15 17:44:17+00:00,"@Amy_Siskind People in Afghanistan are like death bodies!!! Counting seconds, specially those who promised and asked serval time for information to be evacuated in save place…
We are going to be finished.
Its still early to call us for relocation.","  People in Afghanistan are like death bodies!!! Counting seconds, specially those who promised and asked serval time for information to be evacuated in save place…
We are going to be finished.
Its still early to call us for relocation.",fear / refugee,5,0.0211864406779661,,,@Amy_Siskind,English-speaking,0,0,0,0,No hashtags,yes
12,105212,2021-08-28 22:55:50+00:00,"this is amazingly wonderful.

funny, isn't that about the total # of Americans our military have evacuated?  It's around 5K....and around ONE HUNDRED THOUSAND unvetted Afghani.....

Glen Beck wins. https://t.co/AERJWljmq0","this is amazingly wonderful.

funny, isn't that about the total # of Americans our military have evacuated?  It's around 5K....and around ONE HUNDRED THOUSAND unvetted Afghani.....

Glen Beck wins.  ",disgust / disagree,24,0.1206030150753768,"ONE, HUNDRED, THOUSAND",https://t.co/AERJWljmq0,,"Texas, USA",0,1,1,0,No hashtags,yes
13,70465,2021-09-19 01:19:04+00:00,"@s_frieza It’s insane! And I understand that certain retired American soldiers went to Afghanistan, and brought some American families out, and the State Dept tried to take credit. Also, Dems are not letting an airplane of Americans land b/c they say they’re not vetted..? Crazy","  It’s insane! And I understand that certain retired American soldiers went to Afghanistan, and brought some American families out, and the State Dept tried to take credit. Also, Dems are not letting an airplane of Americans land b/c they say they’re not vetted..? Crazy",disgust / neutral,12,0.0444444444444444,I,,@s_frieza,"Philadelphia, PA ",1,0,0,0,No hashtags,yes
14,192354,2021-06-05 06:49:44+00:00,"@FWorldcitizen @EUCouncilPress @EUCouncil @NathalieLoiseau Wouldn't be surprised if Syria sends you &amp; your pals a bill.  Not sure why the countries on the refugee road out of Syria, Iraq, Afghanistan, and Libya haven't sent one. Ppent a lot of money, and gone a bit towards Nationalism, thanks to Nato and EUuu. https://t.co/Tj5j9jDnxc","        Wouldn't be surprised if Syria sends you &amp; your pals a bill.  Not sure why the countries on the refugee road out of Syria, Iraq, Afghanistan, and Libya haven't sent one. Ppent a lot of money, and gone a bit towards Nationalism, thanks to Nato and EUuu.  ",disgust / neutral,12,0.0451127819548872,,https://t.co/Tj5j9jDnxc,"@FWorldcitizen, @EUCouncilPress, @EUCouncil, @NathalieLoiseau",English-speaking,0,0,0,0,No hashtags,yes
15,186878,2021-07-10 01:58:39+00:00,@maddow Afghan translators - I hope there is there discussion about getting their families out too?,  Afghan translators - I hope there is there discussion about getting their families out too?,hopeful / agree,2,0.021505376344086,I,,@maddow,Colorado,0,0,1,0,No hashtags,yes
16,23284,2022-01-26 12:01:03+00:00,"Those stuck in Afghanistan face “unthinkable” choices as they wait to see whether “they’ll be picked” for Afghan Resettlement Scheme, charities have warned.

Read the full piece from @BigIssue here: https://t.co/2QGuDWHQHR","Those stuck in Afghanistan face “unthinkable” choices as they wait to see whether “they’ll be picked” for Afghan Resettlement Scheme, charities have warned.

Read the full piece from   here:  ",fear / agree,6,0.03125,,https://t.co/2QGuDWHQHR,@BigIssue,"Knutsford, Cheshire",0,0,1,0,No hashtags,yes
17,109820,2021-08-27 11:38:00+00:00,"Afghanistan-born swimmer Abbas Karimi has sent a ""huge message of hope"" despite missing out on a medal at the #Paralympics the refugee team's chief said Friday https://t.co/Y8jMjPjHwd #Tokyo2020 #AFPsports https://t.co/nUccFJImx5","Afghanistan-born swimmer Abbas Karimi has sent a ""huge message of hope"" despite missing out on a medal at the #Paralympics the refugee team's chief said Friday   #Tokyo2020 #AFPsports  ",happy / na,9,0.0486486486486486,,"https://t.co/Y8jMjPjHwd, https://t.co/nUccFJImx5",,France,3,78,377,9,"['Paralympics', 'Tokyo2020', 'AFPsports']",yes
18,159923,2021-08-16 23:46:37+00:00,"Australia needs to do more. Starting with permanent residence to all Afghani #asylumseekers in Australia (including on shore and off shore detention), rescue those who have worked with us and are still in Kabul, grant asylum to many still waiting in Indonesia. #auspol https://t.co/FXhURwUGTR","Australia needs to do more. Starting with permanent residence to all Afghani #asylumseekers in Australia (including on shore and off shore detention), rescue those who have worked with us and are still in Kabul, grant asylum to many still waiting in Indonesia. #auspol  ",plea - neutral / agree,6,0.0222222222222222,,https://t.co/FXhURwUGTR,,"Ngunnawal Country, Canberra",0,0,1,0,"['asylumseekers', 'auspol']",yes
19,171740,2021-08-15 12:09:03+00:00,"@photogramel I feel so afraid and sad for women in Afghanistan right now. Why is it that we see groups of refugee men from there but not women, when they are in more danger?","  I feel so afraid and sad for women in Afghanistan right now. Why is it that we see groups of refugee men from there but not women, when they are in more danger?",fear / agree,3,0.0185185185185185,I,,@photogramel,Australia,1,2,30,0,No hashtags,yes
20,61259,2021-09-30 23:05:38+00:00,"Snuck into the government funding bill, or CR, the Democrats are trying to pass unlimited money to random, unscreened, unvetted Afghan nationals. Republicans can't let this happen…..This is not a “clean” government funding bill.  —PRES. TRUMP
@SenTomCotton @SenTedCruz @HawleyMO","Snuck into the government funding bill, or CR, the Democrats are trying to pass unlimited money to random, unscreened, unvetted Afghan nationals. Republicans can't let this happen…..This is not a “clean” government funding bill.  —PRES. TRUMP
     ",plea - disgust / disagree,16,0.064516129032258,"CR,, —PRES., TRUMP
",,"@SenTomCotton, @SenTedCruz, @HawleyMO",United States,0,0,0,0,No hashtags,yes
21,84217,2021-09-07 21:03:15+00:00,"The government has long worked to create a permanent limbo for asylum seekers. Despite new pledges, this will be the welcome many of those arriving from Afghanistan receive. https://t.co/Xr97YTHZMS","The government has long worked to create a permanent limbo for asylum seekers. Despite new pledges, this will be the welcome many of those arriving from Afghanistan receive.  ",disgust / agree,3,0.0171428571428571,,https://t.co/Xr97YTHZMS,,"Goshen, IN",0,0,0,0,No hashtags,yes
22,64633,2021-09-25 21:10:01+00:00,Connecting Vets: Army vet wins long fight to get Afghan translator asylum : Read More: https://t.co/wZ1aMMeoD0,Connecting Vets: Army vet wins long fight to get Afghan translator asylum : Read More:  ,happy / agree,6,0.0681818181818181,,https://t.co/wZ1aMMeoD0,,United States,0,0,0,0,No hashtags,yes
23,131696,2021-08-21 13:10:40+00:00,@HeldinEU @Reynolds I would like this to be expanded into Gov...eg: G. Williamson to spend a month in a crowded classroom of 12-14yr olds; D. Raab to spend a month in Afghanistan; L. Truss to spend a month on fishing trawlers; P. Patel to go anonymously to say Syria and try to get refugee status...,    I would like this to be expanded into Gov...eg: G. Williamson to spend a month in a crowded classroom of 12-14yr olds; D. Raab to spend a month in Afghanistan; L. Truss to spend a month on fishing trawlers; P. Patel to go anonymously to say Syria and try to get refugee status...,happy / neutral,12,0.0424028268551236,"I, G., D., L., P.",,"@HeldinEU, @Reynolds",England,1,0,1,0,No hashtags,yes
